Test started at: 21-02-2024 18:38:06 - Finished at 21-02-2024 18:42:44
Results for simulation time 100.0 s:[
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200)=Results(duration=128, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=1, nodes=200)=Results(duration=118, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=2, nodes=200)=Results(duration=115, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=3, nodes=200)=Results(duration=116, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=4, nodes=200)=Results(duration=133, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=5, nodes=200)=Results(duration=129, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=6, nodes=200)=Results(duration=116, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=7, nodes=200)=Results(duration=120, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=8, nodes=200)=Results(duration=126, steps=20001), 
SimulationType(incarnation=collektive, testType=branching, cycle=9, nodes=200)=Results(duration=115, steps=20001), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=0, nodes=843)=Results(duration=1435, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=1, nodes=843)=Results(duration=1392, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=2, nodes=843)=Results(duration=1393, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=3, nodes=843)=Results(duration=1363, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=4, nodes=843)=Results(duration=1405, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=5, nodes=843)=Results(duration=1373, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=6, nodes=843)=Results(duration=1403, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=7, nodes=843)=Results(duration=1392, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=8, nodes=843)=Results(duration=1381, steps=84301), 
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=9, nodes=843)=Results(duration=1376, steps=84301), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=0, nodes=200)=Results(duration=269, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=1, nodes=200)=Results(duration=112, steps=20001), 
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=2, nodes=200)=Results(duration=113, steps=20001), 
