Test started at: 26-02-2024 09:10:51 - Finished at 26-02-2024 09:29:07
Results for simulation time 1000.0 s:
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200) Results(duration=353, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=1, nodes=200) Results(duration=373, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=2, nodes=200) Results(duration=357, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=3, nodes=200) Results(duration=368, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=4, nodes=200) Results(duration=429, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=5, nodes=200) Results(duration=357, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=6, nodes=200) Results(duration=382, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=7, nodes=200) Results(duration=431, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=8, nodes=200) Results(duration=433, steps=200001)
SimulationType(incarnation=collektive, testType=branching, cycle=9, nodes=200) Results(duration=423, steps=200001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=8008, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=7970, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=7982, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=8100, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=7969, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=8034, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=8016, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=9364, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=9344, steps=843001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=9423, steps=843001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=131, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=131, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=131, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=130, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=134, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=131, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=138, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=131, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=155, steps=200001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=129, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=0, nodes=200) Results(duration=2173, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=1, nodes=200) Results(duration=2183, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=2, nodes=200) Results(duration=2258, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=3, nodes=200) Results(duration=2209, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=4, nodes=200) Results(duration=2215, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=5, nodes=200) Results(duration=2189, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=6, nodes=200) Results(duration=2439, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=7, nodes=200) Results(duration=2176, steps=200001)
SimulationType(incarnation=collektive, testType=gradient, cycle=8, nodes=200) Results(duration=2559, steps=200001)
